Evans Farms Produce,9843 Seashore Highway,Bridgeville,DE,19933,(302) 337-8130,www.EvansFarmsProduce.com,Farm
Fairview Farms,380 Green Giant Road,Townsend,DE,19734,(302) 378-0611,,Farm
Farmer Gene's Market,4213 Seashore Highway,Bridgeville,DE,19933,(302) 349-4121,,Farmers Market
Ficners Farm,1911 Fast Landing Road,Dover,DE,19901,(302) 674-4677,www.ficnerfarm.com,Farm
Fifer Orchards Local-Fresh Market,200 Cullen Street,Dewey Beach,DE,19971,(302) 227-8680,www.fiferorchards.com,Farmers Market
"Fifer Orchards, Inc.",1919 Allabands Mill Road,Wyoming,DE,19934,(302) 697-2141,www.fiferorchards.com,Farm
Filaskys Produce,1343 Bunker Hill Road,Middletown,DE,19709,(302) 378-2754,,Farm
Flagstone Farm,10574 Memory Road,Harrington,DE,19952,(302) 349-5726,,Farm
Folke Family Funny Farm,24199 Lewes-Georgetown Highway,Georgetown,DE,19947,(302) 856-4321,,Farm
Fresh Connection,9598 Coastal Highway,Milford,DE,19963,(302) 684-8498,,Farm
Fresh To You Produce,12620 Seashore Highway,Bridgeville,DE,19933,(302) 349-4953,,Farm
Frightland,Route 13 & 301 Port Penn Road,Middletown,DE,19709,(302) 838-0256,www.frightland.com,Farm
Garden Shack Farm,19884 Beaver Dam Road,Lewes,DE,,(302) 945-2938,www.gardenshackfarm.com,Farm
Givens Produce,8947 Woodland Ferry Road,Laurel,DE,19956,(302) 228-4640,,Farm
Good Earth Market,31806 Good Earth Lane,Ocean View,DE,19970,302-537-7100,www.goodearthmarket.com,Farmers Market
Greenbank Mill and Philips Farm,500 Greenbank Road,Wilmington,DE,19808,(302) 999-9001,www.greenbankmill.com,Farm
Greenspring Farms,1331 Clayton-Greenspring Road,Clayton,DE,19938,(302) 653-0239,,Farm
"H & H Brand Farms, Inc.",7784 Main Street,Bethel,DE,19931,(800) 276-3420,,Farm
Handley's U-Pick,6094 Epworth Church Road,Bridgeville,DE,19933,(302)337-9593,,Farm
Hay Wagon Country Produce,32766 DuPont Boulevard,Dagsboro,DE,19939,(410)868-4617,Facebook,Farm
Hazeye Farms,242 South DuPont Highway,Smyrna,DE,19977,(302) 750-0786,,Farm
Highland Orchards Farm Market,1431 Foulk Road,Wilmington,DE,19803,(302) 478-4042,www.highlandorchardsfarmmarket.com,Farmers Market
Highland Orchards of Hockessin,7460 Lancaster Pike,Hockessin,DE,19709,(302) 239-4915,https://sites.google.com/site/henrettysmarket/home,Farm
Hill's Fresh Plants & Produce,1795 Milford-Harrington Highway,Milford,DE,19963,(302) 422-8554,www.hillsfresh.net,Farm
Jeff's Greenhouses,"P.O. Box 5, Main Street",Bethel,DE,19931,(800) 875-3420,,Farm
Joe's Market,10567 Coastal Highway,Milford,DE,19963,(302) 632-2491,,Farmers Market
John's Homegrown and Farm Fresh Produce,3055 Old County Road,Newark,DE,19702,(302) 834-3747,,Farm
John's Market,4693 Kenton Road,Dover,DE,19904,(302) 423-7035,,Farmers Market
Johnson's Country Market,36258 Zion Church Road,Selbyville,DE,19975,(302) 436-3276,www.JohnsonsCountryMarket.com,Farmers Market
Judy Brothers,12565 Blacksmith Shop Road,Greenwood,DE,19950,(302) 349-4187,,Farm
Kingsley Orchards,24349 Blueberry Lane,Frankford,DE,19945,(302) 732-9567,http://www.kingsleyorchards.com/,Farm
"L.H. Webb & Son Market, Inc.",6975 Bay Road,Frederica,DE,19946,(302) 335-5841,,Farmers Market
Lakeside Farms/Coastal Growers,32206 Hastings Drive,Laurel,DE,19956,(302) 875-4245,,Farm
Laurel Farmers Auction Market,10667 Georgetown Road,Laurel,DE,19956,(302) 875-3147,www.laurelauctionmarket.com,Farm
Lavender Fields at Warrington Manor,18864 Cool Springs Road,Milton,DE,19968,(302) 684-1514,www.lavenderfieldsde.com,Farm
Lawson's Produce,18581 Route 5,Harbeson,DE,19951,(302) 745-0666,,Farm
Little Wagon Produce,2667 Seashore Highway,Greenwood,DE,19950,(302) 349-5100,www.littlewagonproduce.com,Farm
Loblolly Acres,3893 Turkey Point Road,Woodside,DE,19980,(302) 284-9255,www.loblollyacres.com,Farm
Longneck Produce at Bay City,Longneck Road,Longneck,DE,19966,(302) 236-0082,,Farm
Ma & Pa's Market,4987 Seashore Highway,Greenwood,DE,19950,(302) 349-5607,,Farmers Market
MaeBrook Farm,8022 Hearns Pond Rd,Seaford,DE,19973,(302) 858-3435,www.maebrookproduce.com,Farm
Magee Farms,34857 Lighthouse Road,Selbyville,DE,19975,(302) 436-5589,www.mageefarms.com,Farm
Magee Farms - Lewes,33761 Westcoats Rd,Lewes,DE,19958,(302) 644-1023,www.mageefarms.com,Farm
Magee Farms - Selbyville,34857 Lighthouse Road,Selbyville,DE,19975,(302) 436-5589,www.mageefarms.com,Farm
Mansion House Farm,2656 Porter Road & Mansion House Road,Bear,DE,19701,(302) 834-6723,,Farm
Marini Produce,2121 Veale Road,Wilmington,DE,19810,(302) 475-5754,,Farm
Marvelous Produce,22958 Sussex Highway,Seaford,DE,19973,(302)-628-1940,www.marvelousproducefarms.com,Farm
Mr. Peppers Pumpkin Patch,13000 Laurel Road,Laurel,DE,19956,(302) 875-3939,www.mrpepperspumpkinpatch.com,Farm
Muzzi Farms,32861 Long Neck Road,Millsboro,DE,19966,(302) 362-3659,,Farm
Name,Street Address,City,State,Zip code,Phone Number,Website,Establishment
Ocean View Produce,97 Atlantic Avenue,Ocean View,DE,,(302) 462-5377,,Farm
Outback Farm,30155 Cave Neck Road,Milton,DE,19968,(302) 645-8742,,Farm
Paradise Peaches,2445 Paradise Alley Road,Felton,DE,19943,(302) 284-3008,,Farm
Parsons Farms Produce,30489 Parsons Road,Dagsboro,DE,19939,(302) 732-3336,,Farm
Peaches and Honey Farm,3188 Bowman Road,Seaford,DE,19973,(302) 629-5271,,Farm
Plymouth Produce,18751 North DuPont Highway,Georgetown,DE,19947,(302) 856-6998,,Farm
Powers Farm Market,324 VanDyke-Maryland Line Road,Townsend,DE,19734,,http://www.thepowersfarm.com/,Farmers Market
Quillen Apiaries,907 Heritage Drive,Seaford,DE,19973,(302) 629-9430,,Farm
Ramsey's Farm,330 Ramsey Road,Wilmington,DE,19803,(302) 477-1499,www.ramseysfarm.com,Farm
Ray Drejka,200 North Star Road,Newark,DE,19711,(302) 239-2010,,Farm
Red Barn Farm Market,7360 Bay Road,Frederica,DE,19947,(302) 335-4890,,Farmers Market
Rustic Acres Farm Market/Rehoboth Dairy,37217 Rustic Acres Lane,Rehoboth,DE,19971,(302) 245-8308,,Farm
Shiloh Lea Farm,3716 Mahan Corner Road,Marydel,DE,19964,(302) 492-3789,,Farm
Short's Brothers,2449 Seashore Highway,Greenwood,DE,19950,(302) 349-4182,,Farm
"Singletree Stables Riding School, Inc.",22237 Esterson Lane,Seaford,DE,19973,(302) 629-4971,www.singletreestables.net,Farm
Stag Run Farm,23656 Foxcroft Lane,Georgetown,DE,19947,(302) 629-0415,www.delmarvafarmlife.com,Farm
Steven & PopPop's,24532 Deep Branch Road,Georgetown,DE,19947,(302) 933-0454,,Farm
Street's Produce Market,18973 Sussex Highway,Bridgeville,DE,19933,(302) 337-7330,,Farm
T.A. Farms,4664 Mud Mill Road,Camden-Wyoming,DE,19934,(302) 492-3030,www.tafarms.com,Farm
T.S. Smith and Sons,8887 Redden Road,Bridgeville,DE,19933,(302) 337-8271,www.tssmithandsonsfarm.com,Farm
The Farm Stand at The Givens',29930 John J. Williams Highway,Millsboro,DE,19966,(302) 933-8001,Facebook,Farm
The Hen House,11465 Sycamore Road,Laurel,DE,19956,(302) 875-6922,www.thehenhousede.com,Farm
Thousand Acre Farm,260 South Reedy Point Road,Middletown,DE,19709,302-893-3510,www.thousandacrefarm.com,Farm
Tomato Sunshine,4312 Highway One North,Rehoboth Beach,DE,19971,(302) 226-9533,www.tomatosunshine.com,Farm
Triple M Farms,10326 Shawnee Road,Harrington,DE,19952,(302) 398-8039,www.triplemfarmsde.com,Farm
"Twisted Steel Produce, LLC",14255 South DuPont Highway,Harrington,DE,19952,(302) 359-9936,,Farm
Two Belle Farms,30297 Discount Land Road,Laurel,DE,19956,(302) 875-7367,,Farm
U-Pick Strawberries,4693 Kenton Road,Dover,DE,19901,(302) 423-7035,,Farm
Urban Acres Mobile Farm Stand - Broom St,1800 North Broom Street,Wilmington,DE,19802,(302) 547-1573,,Farm
Urban Acres Mobile Farm Stand - Walnut St,400 North Walnut Street,Wilmington,DE,19802,(302) 547-1573,,Farm Stand
Urban Acres Mobile Farm Stand - Central Baptist Church,839 North Pine Street,Wilmington,DE,19801,(302) 547-1573,,Farm Stand
Vince's Market,380 Pulaski Highway,New Castle,DE,19720,(302) 322-0386,,Farmers Market
Walters Produce,8571 South DuPont Highway,Felton,DE,19943,(302) 284-4619,,Farm
Wayside Terrace Farming,5300 Kennett Pike,Wilmington,DE,19807,(302) 650-5626,,Farm
White Gate Farms,883 Dyke Branch Road,Dover,DE,19901,(302) 233-1711,,Farm
Wicked R Western Production,2621 Sandy Bend Road,Wyoming,DE,19934,(302) 492-3327,www.wickedrwestern.com,Farm
Willey Farms,4092 DuPont Parkway,Townsend,DE,19734,(302) 378-8441,www.willeyfarmsde.com,Farm
Willow Rock Gardens,2104 Sewell Branch Road,Clayton,DE,19938,(302) 223-8190,www.willowrockgardensllc.com,Farm
Woodland Harvest Farm,4091 Woodland Ferry Road,Seaford,DE,19973,(302) 629-2686,,Farm
Wothers' Produce,378 Irish Hill Road,Felton,DE,19943,(302) 284-9840,,Farm
Zitvogel Farms,13713 Haven Road,Bridgeville,DE,19933,(302) 249-7957,www.zitvogelfarms.com,Farm
